price_mnt,log_price,area_m2,rooms,floor,total_floors,floor_ratio,building_age,year_built,has_balcony,balcony_count,has_garage,has_elevator,is_finished,district,district_grouped,window_type,door_type,floor_material,price_per_m2
820000000.0,20.524814898222573,146.3,6,9.0,9.0,1.0,20,2005,1,1,0,0,1,Сүхбаатар,Сүхбаатар,Вакум,Төмөр,Паркет,5604921.3943950785
137000000.0,18.735491483792398,31.28,1,2.0,16.0,0.125,0,2025,1,1,0,0,1,Сүхбаатар,Сүхбаатар,Вакум,Бүргэд,Паркет,4379795.396419438
150000000.0,18.82614585206053,35.0,1,9.0,12.0,0.75,11,2014,1,0,0,0,1,Баянгол,Баянгол,Вакум,Төмөр,Паркет,4285714.285714285
471000000.0,19.970368651980692,157.0,5,14.0,15.0,0.9333333333333333,7,2018,1,1,1,0,1,Баянзүрх,Баянзүрх,Вакум,Бүргэд,Паркет,3000000.0
220000000.0,19.209138104316636,48.33,2,,,,1,2024,1,1,0,0,1,Сүхбаатар,Сүхбаатар,Вакум,Төмөр,Паркет,4552038.071591144
139650000.0,18.75464985035546,24.5,1,2.0,10.0,0.2,11,2014,1,1,0,0,1,Хан-Уул,Хан-Уул,Вакум,Төмөр,Паркет,5700000.0
516000000.0,20.061617323445837,103.2,4,15.0,16.0,0.9375,1,2024,1,1,0,0,1,Баянгол,Баянгол,Вакум,Бүргэд,Паркет,5000000.0
204000000.0,19.13363055180849,54.21,2,11.0,16.0,0.6875,0,2026,1,1,0,0,1,Баянзүрх,Баянзүрх,Вакум,Бүргэд,Паркет,3763143.331488655
195000000.0,19.08851011652802,43.5,2,5.0,15.0,0.3333333333333333,2,2023,1,1,0,0,1,Сүхбаатар,Сүхбаатар,Вакум,Бүргэд,Паркет,4482758.620689655
162000000.0,18.903106893196657,75.0,3,9.0,9.0,1.0,26,1999,1,2,0,0,1,Сонгинохайрхан,Сонгинохайрхан,Вакум,Бүргэд,Паркет,2160000.0
297000000.0,19.509242696766975,70.79,3,7.0,12.0,0.5833333333333334,12,2013,1,1,0,0,1,Баянгол,Баянгол,Вакум,Вакум,Паркет,4195507.840090408
586000000.0,20.188830347541288,99.0,4,7.0,17.0,0.4117647058823529,4,2021,1,1,0,0,1,Баянзүрх,Баянзүрх,Вакум,Төмөр вакум,Паркет,5919191.919191919
1200000000.0,20.905587393740365,135.0,5,20.0,23.0,0.8695652173913043,0,2025,1,2,0,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,8888888.888888888
230000000.0,19.25358986688747,37.06,1,6.0,12.0,0.5,13,2012,1,1,0,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,6206152.1856448995
116000000.0,18.56910074907064,21.1,1,5.0,12.0,0.4166666666666667,7,2018,1,0,0,0,1,Сүхбаатар,Сүхбаатар,Вакум,Бүргэд,Паркет,5497630.331753554
124000000.0,18.63579212356931,31.81,1,10.0,12.0,0.8333333333333334,2,2023,1,1,0,0,1,Баянзүрх,Баянзүрх,Вакум,Бүргэд,Паркет,3898145.2373467465
230410000.0,19.255370888621915,65.83,3,2.0,16.0,0.125,0,2026,1,1,0,0,1,Баянзүрх,Баянзүрх,Вакум,Бүргэд,Паркет,3500075.953212821
186030000.0,19.04141850899417,53.15,2,16.0,16.0,1.0,0,2025,1,1,0,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,3500094.0733772344
239000000.0,19.291974109895786,79.68,3,3.0,16.0,0.1875,0,2025,1,2,1,0,1,Хан-Уул,Хан-Уул,Вакум,Бүргэд,Паркет,2999497.9919678713
120000000.0,18.60300230074632,29.8,1,9.0,12.0,0.75,0,2026,1,1,0,0,1,Баянзүрх,Баянзүрх,Вакум,Бүргэд,Паркет,4026845.6375838923
202500000.0,19.12625044451087,45.0,2,14.0,16.0,0.875,0,2025,1,1,0,0,1,Сүхбаатар,Сүхбаатар,Вакум,Бүргэд,Паркет,4500000.0
525000000.0,20.0789088205559,70.0,2,11.0,16.0,0.6875,0,2026,1,1,0,0,1,Сүхбаатар,Сүхбаатар,Вакум,Бүргэд,Паркет,7500000.0
139000000.0,18.749984491094967,42.18,2,1.0,12.0,0.08333333333333333,8,2017,1,0,0,0,1,Баянзүрх,Баянзүрх,Вакум,Бүргэд,Паркет,3295400.6638217163
96500000.0,18.385053566309214,32.0,1,6.0,16.0,0.375,0,2026,1,1,0,0,1,Баянзүрх,Баянзүрх,Вакум,Бүргэд,Паркет,3015625.0
218000000.0,19.200005620753362,60.62,3,1.0,10.0,0.1,12,2013,1,1,0,0,1,Баянгол,Баянгол,Вакум,Бүргэд,Паркет,3596172.8802375454
375000000.0,19.742436583934683,90.0,3,4.0,6.0,0.6666666666666666,12,2013,1,1,0,0,1,Баянзүрх,Баянзүрх,Вакум,Бүргэд,Паркет,4166666.6666666665
